Experiment	Sector	Variable	GTAPVar	Description	Unit	Value	Type
ExB15	Food	vxwcom	vxwcom	vxwcom	vxwcom	0.726828277111053	TOTAL
ExB15	Food	vxwcom	vxwcom	vxwcom	vxwcom	0.459279894828796	to changes
ExB15	Food	vxwcom	vxwcom	vxwcom	vxwcom	-2.27714014053345	txs changes
ExB15	Food	vxwcom	vxwcom	vxwcom	vxwcom	2.54468750953674	tms changes
ExB15	Mnfcs	vxwcom	vxwcom	vxwcom	vxwcom	0.0412900820374489	TOTAL
ExB15	Mnfcs	vxwcom	vxwcom	vxwcom	vxwcom	0.0213922895491123	to changes
ExB15	Mnfcs	vxwcom	vxwcom	vxwcom	vxwcom	0.0281555615365505	txs changes
ExB15	Mnfcs	vxwcom	vxwcom	vxwcom	vxwcom	-0.0082410741597414	tms changes
ExB15	Svces	vxwcom	vxwcom	vxwcom	vxwcom	0.119620285928249	TOTAL
ExB15	Svces	vxwcom	vxwcom	vxwcom	vxwcom	0.0289658028632402	to changes
ExB15	Svces	vxwcom	vxwcom	vxwcom	vxwcom	-0.123434528708458	txs changes
ExB15	Svces	vxwcom	vxwcom	vxwcom	vxwcom	0.214089006185532	tms changes
