Experiment	Region	Variable	GTAPVar	Description	Unit	Value	Type
ExB15	ROW	atd	atd	atd	atd	0	txs changes
ExB15	ROW	atd	atd	atd	atd	0	tms changes
ExB15	SSA	ats	ats	ats	ats	0	TOTAL
ExB15	SSA	ats	ats	ats	ats	0	to changes
ExB15	SSA	ats	ats	ats	ats	0	txs changes
ExB15	SSA	ats	ats	ats	ats	0	tms changes
ExB15	EU	ats	ats	ats	ats	0	TOTAL
ExB15	EU	ats	ats	ats	ats	0	to changes
ExB15	EU	ats	ats	ats	ats	0	txs changes
ExB15	EU	ats	ats	ats	ats	0	tms changes
ExB15	ROW	ats	ats	ats	ats	0	TOTAL
ExB15	ROW	ats	ats	ats	ats	0	to changes
ExB15	ROW	ats	ats	ats	ats	0	txs changes
ExB15	ROW	ats	ats	ats	ats	0	tms changes
ExB15	SSA	au	au	au	au	0	TOTAL
ExB15	SSA	au	au	au	au	0	to changes
ExB15	SSA	au	au	au	au	0	txs changes
ExB15	SSA	au	au	au	au	0	tms changes
